geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-12,25.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-13,34.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-14,37.04
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-15,37.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-16,40.1
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-17,39.2
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-18,43.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-19,35.87
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-20,42.01
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-21,40.45
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-22,39.47
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-23,42.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-24,48.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-25,46.05
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-26,40.62
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-27,48.82
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-28,51.54
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-29,46.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-04-30,48.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-01,60.69
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-02,57.56
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-03,49.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-04,53.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-05,53.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-06,56.99
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-07,61.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-08,64.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-09,59.86
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-10,46.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-13,66.52
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-14,60.78
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-15,72.67
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-16,72.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-17,52.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-18,60.97
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-19,70.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-20,78.65
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-21,79.51
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-22,85.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-23,74.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-24,64.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-25,60.22
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-26,80.71
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-27,82.43
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-28,82.17
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-29,92.16
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-30,86.7
city,Ann Arbor,driving,NA,Michigan,United States,2020-05-31,68.08
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-01,80.91
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-02,86.11
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-03,85.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-04,92.28
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-05,100.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-06,95.79
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-07,78.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-08,92.13
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-09,95.97
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-10,89.66
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-11,107.02
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-12,113.13
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-13,106.48
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-14,87.15
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-15,101.89
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-16,106.51
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-17,109.08
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-18,111.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-19,128.78
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-20,117.67
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-21,81.74
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-22,104.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-23,108.26
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-24,114.77
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-25,118.56
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-26,126.33
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-27,120.27
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-28,101.94
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-29,112.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-06-30,114.68
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-01,119.74
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-02,123.2
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-03,113.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-04,81.61
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-05,85.02
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-06,107.76
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-07,112.19
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-08,113.61
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-09,117.16
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-10,123.39
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-11,120.21
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-12,97.25
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-13,112.97
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-14,112.49
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-15,115.66
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-16,114.26
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-17,132.23
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-18,121.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-19,93.25
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-20,116.51
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-21,113.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-22,113.49
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-23,119.85
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-24,132.61
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-25,120.89
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-26,100.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-27,110.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-28,116.14
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-29,118.59
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-30,122.97
city,Ann Arbor,driving,NA,Michigan,United States,2020-07-31,130.59
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-01,116.64
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-02,91.99
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-03,113.89
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-04,119.18
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-05,117.81
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-06,122.32
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-07,132.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-08,121.49
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-09,100.59
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-10,110.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-11,115.57
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-12,120.32
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-13,124.05
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-14,135.16
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-15,125.63
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-16,101.38
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-17,118.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-18,119.28
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-19,124.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-20,127.94
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-21,140.37
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-22,137.33
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-23,118.91
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-24,145.32
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-25,148.06
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-26,153.12
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-27,164.24
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-28,166.43
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-29,162.34
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-30,132.09
city,Ann Arbor,driving,NA,Michigan,United States,2020-08-31,131.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-01,128.44
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-02,130.8
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-03,138.31
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-04,158.81
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-05,138.95
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-06,116.04
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-07,105.84
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-08,111.9
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-09,119.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-10,128.61
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-11,150.95
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-12,147.27
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-13,113.4
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-14,117.7
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-15,120.16
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-16,123.74
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-17,128.93
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-18,152.66
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-19,148.3
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-20,110.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-21,109.85
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-22,113.73
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-23,118.13
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-24,120.69
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-25,143.78
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-26,142.42
city,Ann Arbor,driving,NA,Michigan,United States,2020-09-27,106.81
